,PERSON_ID,HEIGHT,WEIGHT,PTS,REB,AST
4,1629638,195.57999999999998,205.0,8.0,2.0,2.5
8,1630631,182.88,179.0,7.1,2.3,2.1
9,203937,205.74,230.0,6.4,3.5,4.2
12,1630175,187.96,185.0,11.6,3.8,2.9
26,1630625,203.2,204.0,10.3,3.3,2.4
34,201587,203.2,230.0,5.3,4.1,2.1
41,201976,187.96,180.0,6.2,3.3,2.9
58,1631103,193.04,180.0,9.2,2.0,2.1
67,1628971,193.04,202.0,10.8,4.2,2.9
83,203484,195.57999999999998,204.0,10.1,2.4,2.4
89,1627936,195.57999999999998,186.0,10.1,3.8,3.5
103,201144,182.88,175.0,11.4,2.9,5.9
104,1626192,195.57999999999998,209.0,5.6,3.1,2.1
114,1630700,200.66,199.0,5.8,3.9,2.7
126,203915,195.57999999999998,215.0,10.5,2.7,4.7
130,1630288,190.5,177.0,4.3,1.7,2.3
135,1627739,190.5,205.0,5.4,2.9,3.8
145,203957,195.57999999999998,214.0,7.8,2.7,2.9
157,1628365,193.04,209.0,7.8,3.2,2.8
177,1630692,193.04,200.0,6.5,4.4,2.7
180,1628984,185.42,195.0,5.0,1.6,2.1
189,1630182,195.57999999999998,200.0,8.2,3.2,2.3
195,1630204,190.5,190.0,4.2,2.4,2.8
212,1630165,195.57999999999998,195.0,6.9,2.8,4.9
213,202330,200.66,225.0,9.8,3.5,3.1
217,1627741,193.04,220.0,12.1,3.2,2.8
228,1629659,193.04,234.0,10.1,2.4,3.5
232,1628989,200.66,198.0,10.2,3.5,2.6
237,204060,205.74,220.0,4.4,2.1,3.0
245,202704,187.96,208.0,10.2,1.9,3.8
251,1631170,198.12,225.0,11.9,3.8,2.6
266,1630529,200.66,206.0,11.0,3.6,2.6
268,1630200,185.42,185.0,10.0,3.8,6.2
275,1628379,195.57999999999998,206.0,11.0,2.9,3.5
284,1630249,203.2,195.0,6.1,2.4,2.3
308,200768,182.88,196.0,8.1,3.2,4.2
314,1630544,190.5,178.0,9.3,3.6,4.0
318,1628997,195.57999999999998,205.0,10.0,4.4,2.2
319,1628998,198.12,205.0,7.5,3.9,3.7
328,204456,185.42,190.0,10.2,2.7,5.5
335,1629001,190.5,200.0,11.1,3.7,3.0
359,1628420,187.96,183.0,5.0,1.7,2.1
370,1629614,193.04,191.0,9.2,2.1,4.1
380,1626220,198.12,226.0,7.7,4.8,2.8
403,1629007,208.28,240.0,4.4,3.2,2.3
404,1641854,185.42,180.0,5.6,2.1,2.3
415,1630202,185.42,195.0,9.6,3.2,3.4
430,1626196,195.57999999999998,200.0,9.9,2.8,2.4
438,201565,190.5,200.0,8.0,1.9,3.3
448,203967,208.28,225.0,8.0,4.4,2.3
450,1631204,187.96,195.0,8.3,1.8,3.3
463,1628424,195.57999999999998,180.0,5.0,1.8,3.0
465,1630285,182.88,190.0,6.0,2.9,3.6
475,1628372,190.5,205.0,6.6,2.9,3.6
549,1629684,198.12,236.0,10.3,4.2,2.3
567,1626153,195.57999999999998,185.0,4.5,1.8,2.5
