,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,FROM_YEAR,TO_YEAR,PTS,REB,AST,STATS_TIMEFRAME
4,1629638,Alexander-Walker,Nickeil,nickeil-alexander-walker,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,9,G,6-5,205,Virginia Tech,Canada,2019.0,1.0,17.0,1.0,2019,2024,8.0,2.0,2.5,Season
8,1630631,Alvarado,Jose,jose-alvarado,1610612740,pelicans,0,New Orleans,Pelicans,NOP,15,G,6-0,179,Georgia Tech,USA,,,,1.0,2021,2024,7.1,2.3,2.1,Season
9,203937,Anderson,Kyle,kyle-anderson,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,1,F-G,6-9,230,UCLA,USA,2014.0,1.0,30.0,1.0,2014,2024,6.4,3.5,4.2,Season
12,1630175,Anthony,Cole,cole-anthony,1610612753,magic,0,Orlando,Magic,ORL,50,G,6-2,185,North Carolina,USA,2020.0,1.0,15.0,1.0,2020,2024,11.6,3.8,2.9,Season
26,1630625,Banton,Dalano,dalano-banton,1610612757,blazers,0,Portland,Trail Blazers,POR,5,F,6-8,204,Nebraska,Canada,2021.0,2.0,46.0,1.0,2021,2024,10.3,3.3,2.4,Season
34,201587,Batum,Nicolas,nicolas-batum,1610612755,sixers,0,Philadelphia,76ers,PHI,40,G-F,6-8,230,Le Mans,France,2008.0,1.0,25.0,1.0,2008,2024,5.3,4.1,2.1,Season
41,201976,Beverley,Patrick,patrick-beverley,1610612749,bucks,0,Milwaukee,Bucks,MIL,21,G,6-2,180,Arkansas,USA,2009.0,2.0,42.0,1.0,2012,2024,6.2,3.3,2.9,Season
58,1631103,Branham,Malaki,malaki-branham,1610612759,spurs,0,San Antonio,Spurs,SAS,22,F,6-4,180,Ohio State,USA,2022.0,1.0,20.0,1.0,2022,2024,9.2,2.0,2.1,Season
67,1628971,Brown,Bruce,bruce-brown,1610612761,raptors,0,Toronto,Raptors,TOR,11,G-F,6-4,202,Miami,USA,2018.0,2.0,42.0,1.0,2018,2024,10.8,4.2,2.9,Season
83,203484,Caldwell-Pope,Kentavious,kentavious-caldwell-pope,1610612743,nuggets,0,Denver,Nuggets,DEN,5,G,6-5,204,Georgia,USA,2013.0,1.0,8.0,1.0,2013,2024,10.1,2.4,2.4,Season
89,1627936,Caruso,Alex,alex-caruso,1610612741,bulls,0,Chicago,Bulls,CHI,6,G,6-5,186,Texas A&M,USA,,,,1.0,2017,2024,10.1,3.8,3.5,Season
103,201144,Conley,Mike,mike-conley,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,10,G,6-0,175,Ohio State,USA,2007.0,1.0,4.0,1.0,2007,2024,11.4,2.9,5.9,Season
104,1626192,Connaughton,Pat,pat-connaughton,1610612749,bucks,0,Milwaukee,Bucks,MIL,24,G,6-5,209,Notre Dame,USA,2015.0,2.0,41.0,1.0,2015,2024,5.6,3.1,2.1,Season
114,1630700,Daniels,Dyson,dyson-daniels,1610612740,pelicans,0,New Orleans,Pelicans,NOP,11,G,6-7,199,NBA G League Ignite,Australia,2022.0,1.0,8.0,1.0,2022,2024,5.8,3.9,2.7,Season
126,203915,Dinwiddie,Spencer,spencer-dinwiddie,1610612747,lakers,0,Los Angeles,Lakers,LAL,26,G,6-5,215,Colorado,USA,2014.0,2.0,38.0,1.0,2014,2024,10.5,2.7,4.7,Season
130,1630288,Dowtin Jr.,Jeff,jeff-dowtin-jr,1610612755,sixers,0,Philadelphia,76ers,PHI,11,G,6-3,177,Rhode Island,USA,,,,1.0,2021,2024,4.3,1.7,2.3,Season
135,1627739,Dunn,Kris,kris-dunn,1610612762,jazz,0,Utah,Jazz,UTA,11,G,6-3,205,Providence,USA,2016.0,1.0,5.0,1.0,2016,2024,5.4,2.9,3.8,Season
145,203957,Exum,Dante,dante-exum,1610612742,mavericks,0,Dallas,Mavericks,DAL,0,G,6-5,214,Australian Institute of Sport,Australia,2014.0,1.0,5.0,1.0,2014,2024,7.8,2.7,2.9,Season
157,1628365,Fultz,Markelle,markelle-fultz,1610612753,magic,0,Orlando,Magic,ORL,20,G,6-4,209,Washington,USA,2017.0,1.0,1.0,1.0,2017,2023,7.8,3.2,2.8,Season
